Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
02/01/2023,04027,5,Yuma County,AZ,98.1,238778,95,235735,95,220946,95,199798,95,42604,95,163515,76.5,162882,82,25457,66.2,152800,85.9,137425,85.8,33766,81.8,74043,45.3,74037,45.5,71568,46.8,67106,48.8,41697,62.6,22920,67.9,18382,44.1,11731,51.2,D,15,16,16,16,16,16,Metro,3,4,4,4,4,4,15,15,15,15,3,3,3,3,213787,198675,38457,177868,160218,41302,26696,13.4,25825,14.5,24627,15.4,10034,24.3
02/01/2023,04003,5,Cochise County,AZ,98.1,108974,86.5,108464,91.3,101955,94.3,91671,92.6,28048,95,89852,71.4,89683,75.5,12206,61.6,84770,78.4,77477,78.3,24589,84.4,43004,47.9,43003,48,41915,49.4,39867,51.5,27961,65.3,17676,71.9,14853,53.1,10544,59.7,D,15,15,16,15,15,16,Metro,3,3,4,3,3,4,15,15,16,15,3,3,4,3,125922,118765,19816,108094,98949,29118,18009,15.2,17760,16.4,17288,17.5,9946,34.2
02/01/2023,04019,5,Pima County,AZ,98.1,941617,89.9,932531,94.2,880557,95,810896,95,237876,95,784019,74.9,780502,78.8,92929,58.7,742449,82,687573,82.6,212658,95,430033,54.8,430008,55.1,419862,56.6,399233,58.1,261996,70.3,161420,75.9,162070,61.9,111817,69.3,D,15,15,16,16,16,16,Metro,3,3,4,4,4,4,16,16,16,15,4,4,4,3,1047279,990261,158289,905833,831972,212554,217591,22,212246,23.4,204415,24.6,105516,49.6
02/01/2023,04015,5,Mohave County,AZ,98.1,112376,53,112292,55.3,110997,58.6,107620,60.9,52172,79.2,94976,44.8,94940,46.8,3810,14.5,93916,49.6,91130,51.5,45034,68.3,43757,46.1,43757,46.1,43653,46.5,43106,47.3,37362,53.8,26804,59.5,16625,44.5,13082,48.8,D,13,13,13,13,14,15,Metro,1,1,1,1,2,3,15,15,15,14,3,3,3,2,212181,203031,26209,189385,176822,65910,18716,9.2,18657,9.9,18540,10.5,13438,20.4
02/01/2023,04023,5,Santa Cruz County,AZ,98.1,84944,95,84098,95,73449,95,57578,95,11583,95,61424,95,61214,95,17171,95,54427,95,44043,95,9929,95,27745,45.2,27737,45.3,26439,48.6,22792,51.7,13550,66.8,7316,73.7,6552,48.4,4163,56.9,D,16,16,16,16,16,16,Non-metro,8,8,8,8,8,8,15,15,16,15,7,7,8,7,46498,43279,9156,38439,34123,8591,9001,20.8,8695,22.6,8286,24.3,3634,42.3
02/01/2023,04013,5,Maricopa County,AZ,98.1,3152326,70.3,3134223,74.5,3000659,79,2763759,80.5,691011,95,2757431,61.5,2749698,65.3,313447,40.4,2638993,69.5,2436251,71,619433,89,1348374,48.9,1348206,49,1325313,50.2,1264705,51.9,794394,64.6,442438,71.4,425937,53.6,272769,61.7,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,11,12,12,11,3,4,4,3,4485414,4209295,776319,3798091,3432976,696331,569012,13.5,558010,14.7,538290,15.7,255891,36.7
02/01/2023,04012,5,La Paz County,AZ,98.1,13284,62.9,13275,65.9,12887,68.5,12013,68.2,5846,69.7,10586,50.2,10583,52.6,1017,40.1,10281,54.7,9566,54.3,4778,56.9,3931,37.1,3931,37.1,3906,38,3767,39.4,3151,44.9,2291,47.9,1023,32.5,814,35.5,D,14,14,15,14,14,14,Non-metro,6,6,7,6,6,6,14,14,14,13,6,6,6,5,21108,20138,2536,18808,17602,8392,1661,8.2,1653,8.8,1622,9.2,1006,12
02/01/2023,04021,5,Pinal County,AZ,98.1,304535,65.8,303431,69.4,292317,73.8,271387,75.3,86957,90,268258,58,267750,61.2,27209,35.3,258263,65.2,240541,66.7,76893,79.6,120242,44.8,120235,44.9,118809,46,114807,47.7,81882,60.1,50378,65.5,40341,49.3,28537,56.6,D,14,14,14,15,15,15,Metro,2,2,2,3,3,3,15,15,15,15,3,3,3,3,462789,437450,77025,396110,360425,96566,48426,11.1,47822,12.1,46529,12.9,27713,28.7
02/01/2023,04011,5,Greenlee County,AZ,98.1,4803,50.6,4791,54.8,4606,59.4,4314,62.3,1006,77.6,4334,45.6,4327,49.5,403,22.2,4178,53.9,3924,56.6,953,73.5,2229,51.4,2229,51.5,2205,52.8,2135,54.4,1374,69,735,77.1,748,54.4,474,64.5,B,5,5,5,6,6,7,Non-metro,5,5,5,6,6,7,8,8,8,7,8,8,8,7,9498,8743,1814,7754,6929,1297,955,10.9,940,12.1,923,13.3,448,34.5
02/01/2023,04007,5,Gila County,AZ,98.1,38445,71.2,38358,74.9,36941,78.8,34798,80.2,13639,85.9,33810,62.6,33787,66,2958,37.8,32717,69.8,30829,71.1,12290,77.4,18170,53.7,18169,53.8,18009,55,17358,56.3,12904,63.4,8574,69.8,6022,46.7,4497,52.4,D,14,15,14,15,15,15,Non-metro,6,7,6,7,7,7,16,16,16,15,8,8,8,7,54018,51197,7833,46872,43364,15869,6689,13.1,6628,14.1,6506,15,4204,26.5
